CUMHURİYET FEN LİSESİ;10
ÇANAKKALE FEN LİSESİ;4
ÇAPA FEN LİSESİ;4
DR. İLHAMİ TANKUT ANADOLU LİSESİ;2
EDİRNE SÜLEYMAN DEMİREL FEN LİSESİ;1
ERBAKIR FEN LİSESİ;5
ESKİŞEHİR FATİH FEN LİSESİ;3
GAZİ ÜNİVERSİTESİ VAKFI ÖZEL FEN LİSESİ;8
HALİL KALE FEN LİSESİ;2
İSTANBUL ATATÜRK FEN LİSESİ;5
15 TEMMUZ ŞEHİTLER FEN LİSESİ;2
MACİT ZEREN FEN LİSESİ;5
MEHMET EMİN RESULZADE ANADOLU LİSESİ;14
MERAM ANADOLU LİSESİ;5
ODTÜ GELİŞTİRME VAKFI ÖZEL LİSESİ;79
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ;8
ÖZEL ADANA FİNAL FEN LİSESİ;1
ÖZEL ANKARA ZAFER FEN LİSESİ;3
ÖZEL ANTALYA FİNAL FEN LİSESİ;4
ÖZEL ANTALYA LARA BAHÇEŞEHİR ANADOLU LİSESİ;5
ÖZEL BİLFEN FEN LİSESİ;3
ADNAN MENDERES ANADOLU LİSESİ;3
ÖZEL BİLFEN ÜSKÜDAR FEN LİSESİ;2
ÖZEL BİLKENT LİSESİ;29
ÖZEL BİLNET FEN LİSESİ;1
ÖZEL BODRUM DOĞA FEN VE TEKNOLOJİ LİSESİ;2
ÖZEL ÇAĞDAŞ FEN LİSESİ;5
ÖZEL ÇAĞDAŞ ÖNCÜ FEN LİSESİ;10
ÖZEL DEĞER KOLEJİ FEN LİSESİ;1
ÖZEL DİYARBAKIR BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ;1
ÖZEL EDİRNE BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ;1
ÖZEL FORM KAMPÜS FEN LİSESİ;1
AKSARAY ŞEHİT PİLOT HAMZA GÜMÜŞSOY FEN LİSESİ;3
ÖZEL İZMİR BAHÇEŞEHİR KOLEJİ ELLİNCİ YIL FEN VE TEKNOLOJİ LİSESİ;6
ÖZEL MODERN ORTADOĞU ANADOLU LİSESİ;2
ÖZEL NESİBE AYDIN FEN LİSESİ;17
ÖZEL NESİBE AYDIN YILDIZLAR FEN LİSESİ;26
ÖZEL OSMANİYE BAHÇEŞEHİR KOLEJİ FEN LİSESİ;1
ÖZEL ÖZEN ANADOLU LİSESİ;3
